ID,Time,ScreenName,ActiveTime
0000,1515403829,GridBoxGUI,0
0000,1515403829,MainMenuGUI,0
0000,1515403829,RecListGUI,0
0000,1515403829,RadioStill,0
0000,1515403830,BadServiceGUI-Still,1
0000,1515403831,SignalQualityGUI-Still,1
0000,1515403831,HINWEISGUI,0
0000,1515403832,HINWEISGUI,1
0000,1515403832,AppGUI,0
0000,1515403836,PinCodeGUI-Still,4
0000,1515403838,PinCodeGUI-Still,2
0000,1515403839,PVRBannerGui,1
0000,1515403842,RadioStill,3
0000,1515403853,BadServiceGUI-Still,11
0000,1515403853,SignalQualityGUI-Still,0
0000,1515403853,HINWEISGUI,0
0000,1515403853,BadServiceGUI-Still,0
0000,1515403859,BadServiceGUI-Still,6
0000,1515403863,SignalQualityGUI-Still,4
0000,1515403863,HINWEISGUI,0
0000,1515403864,BadServiceGUI-Still,1
0000,1515403864,SignalQualityGUI-Still,0
0000,1515403864,HINWEISGUI,0
0000,1515403867,PinCodeGUI-Still,3
0000,1515403868,PVRBannerGui,1
0000,1515403879,SignalQualityGUI-Still,11
0000,1515403879,HINWEISGUI,0
0000,1515403889,SignalQualityGUI-Still,10
0000,1515403890,HINWEISGUI,1
0000,1515403930,PinCodeGUI-Still,40
0000,1515403937,PVRBannerGui,7
0000,1515404083,GridBoxGUI,146
0000,1515404179,MainMenuGUI,96
0000,1515404192,SignalQualityGUI-Still,13
0000,1515404192,SignalQualityGUI-Still,0
0000,1515404192,HINWEISGUI,0
0000,1515404192,MatteGUI,0
0000,1515404192,BadServiceGUI-Still,0
0000,1515404192,BadServiceGUI-Still,0
0000,1515404192,SignalQualityGUI-Still,0
0000,1515404192,HINWEISGUI,0
0000,1515404192,HINWEISGUI,0
0000,1515404192,HINWEISGUI,0
0000,1515404194,LaunchpadGUI,2
30000000012021,1530001883,AlarmPopupGUI,0
30000000012021,1530001885,RadioStill,2
30000000012021,1530001886,Gui[12],1
30000000012021,1530001886,GSportsBarGUI,0
30000000012021,1530001893,BadServiceGUI-Still,7
30000000012021,1530001893,UccsDigitalOnlyTokenGui-Still,0
30000000012021,1530001893,BadServiceGUI-Still,0
30000000012021,1530001893,ViewingGUI,0
30000000012021,1530001893,StandbyGUI,0
30000000012021,1530001893,InfoBoxGUI,0
30000000012021,1530001893,VolumeGUI,0
30000000012021,1530001893,RadioStill,0
30000000012021,1530002451,Gui[12],558
30000000012021,1530002451,LaunchpadGUI,0
30000000012021,1530002452,Gui[12],1
30000000012021,1530002452,GSportsBarGUI,0
30000000012021,1530002471,RecListGUI,19
30000000012021,1530002480,MatteGUI,9
30000000012021,1530002519,GridBoxGUI,39
30000000012021,1530002529,PVRInstantRecGui,10
30000000012021,1530002532,PVRInstantRecGui,3
30000000012021,1530002535,RecListGUI,3
30000000012021,1530002536,MainMenuGUI,1
30000000012021,1530002540,MatteGUI,4
30000000012021,1530002544,SetupGUI,4
30000000012021,1530002544,VolumeGUI,0
30000000012021,1530002545,InfoBoxGUI,1
30000000012021,1530002545,GridBoxGUI,0
30000000012021,1530002545,PVRBannerGui,0
30000000012021,1530002545,PVRInstantRecGui,0
30000000012021,1530002545,RecListGUI,0
30000000012021,1530002545,RadioStill,0
30000000012021,1530002545,SetupStill,0
30000000012021,1530002548,SetupGUI,3
30000000012021,1530002548,SetupStill,0
30000000012021,1530002549,InfoBoxGUI,1
30000000012021,1530002549,Gui[12],0
30000000012021,1530002549,VolumeGUI,0
30000000012021,1530002549,RadioStill,0
30000000012021,1530002553,MainMenuGUI,4
30000000012021,1530002558,RecListGUI,5
30000000012021,1530002563,GridBoxGUI,5
30000000012021,1530002567,MainMenuGUI,4
30000000012021,1530002569,SetupGUI,2
30000000012021,1530002569,VolumeGUI,0
30000000012021,1530002570,InfoBoxGUI,1
30000000012021,1530002570,GridBoxGUI,0
30000000012021,1530002570,PVRBannerGui,0
30000000012021,1530002570,PVRInstantRecGui,0
30000000012021,1530002570,RecListGUI,0
30000000012021,1530002570,RadioStill,0
30000000012021,1530002570,SetupStill,0
30000000012021,1530002600,MatteGUI,30
